ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
46,"Fossil fuels",RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,25149.83,0,1,0,0,0
47,"Fossil fuels",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,17601,0,1,0,0,0
48,"Fossil fuels",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,15721,0,1,0,0,0
49,"Fossil fuels",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,14926,0,1,0,0,0
50,"Fossil fuels",RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,22047,0,1,0,0,0
51,"Fossil fuels",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,19189,0,1,0,0,0
52,"Fossil fuels",RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,18089,0,1,0,0,0
154,"Hard coal",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,4810,0,0,1,1,1
155,"Hard coal",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,2930,0,0,1,1,1
156,"Hard coal",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,2930,0,0,1,1,1
157,"Hard coal",RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,3972,0,0,1,1,1
158,"Hard coal",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,3966,0,0,1,1,1
159,"Hard coal",RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,2977,0,0,1,1,1
185,Oil,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,6670,0,0,1,1,1
186,Oil,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,6670,0,0,1,1,1
187,Oil,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,5300,0,0,1,1,1
188,Oil,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,6263,0,0,1,1,1
189,Oil,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,3271,0,0,1,1,1
190,Oil,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,2874,0,0,1,1,1
219,"Natural gas",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,6121,0,0,1,1,0
220,"Natural gas",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,6121,0,0,1,1,0
221,"Natural gas",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,6696,0,0,1,1,0
222,"Natural gas",RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,11812,0,0,1,1,0
223,"Natural gas",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,11952,0,0,1,1,0
224,"Natural gas",RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,12238,0,0,1,1,0
301,"Differently categorized natural gas",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,6121,0,0,0,0,1
302,"Differently categorized natural gas",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,6121,0,0,0,0,1
303,"Differently categorized natural gas",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,6696,0,0,0,0,1
304,"Differently categorized natural gas",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,11952,0,0,0,0,1
396,"Differently categorized fossil fuels",RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,25149.83,0,0,1,1,1
505,Nuclear,RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
506,Nuclear,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
507,Nuclear,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
508,Nuclear,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
509,Nuclear,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
510,Nuclear,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
511,Nuclear,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,63130,0,1,1,1,1
638,"Renewable energy sources",RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,34183.13,0,1,0,0,0
639,"Renewable energy sources",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,40245.76,0,1,0,0,0
640,"Renewable energy sources",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,42356.5,0,1,0,0,0
641,"Renewable energy sources",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,45161.64,0,1,0,0,0
642,"Renewable energy sources",RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,46588,0,1,0,0,0
643,"Renewable energy sources",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,48226,0,1,0,0,0
644,"Renewable energy sources",RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,49457,0,1,0,0,0
769,Hydro,RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,25502.16,0,0,1,1,0
770,Hydro,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,23492.76,0,0,1,1,0
771,Hydro,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,23494.5,0,0,1,1,0
772,Hydro,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,23522.64,0,0,1,1,0
773,Hydro,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,24820,0,0,1,1,0
774,Hydro,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,24257,0,0,1,1,0
775,Hydro,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,21603,0,0,1,1,0
858,Run-of-river,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,10314.1,0,0,0,0,1
859,Run-of-river,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,10325.5,0,0,0,0,1
860,Run-of-river,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,10326.98,0,0,0,0,1
861,Run-of-river,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,11222,0,0,0,0,1
862,Run-of-river,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,10955,0,0,0,0,1
863,Run-of-river,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,9759,0,0,0,0,1
871,Reservoir,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,8213.66,0,0,0,0,1
872,Reservoir,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,8204,0,0,0,0,1
873,Reservoir,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,8230.66,0,0,0,0,1
874,Reservoir,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,8578,0,0,0,0,1
875,Reservoir,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,8279,0,0,0,0,1
876,Reservoir,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,7188,0,0,0,0,1
889,"Pumped storage",RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,4965,0,0,0,0,1
890,"Pumped storage",RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,4965,0,0,0,0,1
891,"Pumped storage",RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,4965,0,0,0,0,1
892,"Pumped storage",RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,5020,0,0,0,0,1
893,"Pumped storage",RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,5023,0,0,0,0,1
894,"Pumped storage",RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,4656,0,0,0,0,1
958,"Differently categorized hydro",RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,25502.16,0,0,0,0,1
1077,Wind,RTE,"Transmission System Operator",2014,"Installed capacity in MW",FR,Unknown,,4330,0,0,1,1,0
1078,Wind,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,10322,0,0,1,1,0
1079,Wind,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,11680,0,0,1,1,0
1080,Wind,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,13569,0,0,1,1,0
1081,Wind,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,12518,0,0,1,1,0
1082,Wind,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,13610,0,0,1,1,0
1083,Wind,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,16592,0,0,1,1,0
1177,Onshore,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,10312,0,0,0,0,1
1178,Onshore,RTE,"Transmission System Operator",2016,"Installed capacity in MW",FR,Unknown,,11670,0,0,0,0,1
1179,Onshore,RTE,"Transmission System Operator",2017,"Installed capacity in MW",FR,Unknown,,13559,0,0,0,0,1
1180,Onshore,RTE,"Transmission System Operator",2018,"Installed capacity in MW",FR,Unknown,,12518,0,0,0,0,1
1181,Onshore,RTE,"Transmission System Operator",2019,"Installed capacity in MW",FR,Unknown,,13610,0,0,0,0,1
1182,Onshore,RTE,"Transmission System Operator",2020,"Installed capacity in MW",FR,Unknown,,16578,0,0,0,0,1
1198,Offshore,RTE,"Transmission System Operator",2015,"Installed capacity in MW",FR,Unknown,,10,0,0,0,0,1
